,role,firm,location,jd,time_ago
2121,Assistant Accounting & Finance Manager/ผู้ช่วยผู้จัดการบัญชีและการเงิน,"Yamato Unyu Thailand Co., Ltd.",Suanluang,Control and supervise accounting & finance teamAnalyze financial data/P&LDevelop monthly and annual forecasts and budgets,5d ago
2122,Laboratory Technician (1-year contract),"Mahidol-Oxford Research Unit,",Rajthevee,Degree or Master in Science with excellent EnglishKnow and understand of ISO accredited laboratoryImprovement of laboratory safety and workplace,20h ago
2123,Risk & Insurance Department Manager Salary90K-120K Work at BKK BTS line/ผู้จัดการฝ่ายความเสี่ยงและประกันภัย เงินเดือน90K-120K ทำงานเส้นBTS,"TALENTVIS RECRUITMENT (THAILAND) CO., LTD.",Sathorn,Risk & Insurance Department ManagerUrgent requiredWork in Bangkok,10h ago
2124,EHS Supervisor (Environmental part)/EHS Supervisor (Environmental part),Kellogg (Thailand) Ltd.,Rayong,"EnvironmentalFMCG, Food IndustryWaste water controller and Energy Conservation Rep",20h ago
2125,Product Manager - Own Brand,Lotus’s,Beungkum,"Product Management - Own Brand/House BrandSourcing opportunities, potential suppliersHaving skills in project management",20h ago
2126,Marketing Manager/ผู้จัดการแผนกการตลาด,"FOOD PROJECT (SIAM) CO., LTD.",Yannawa,,20h ago
2127,Senior Game Operator,"GLOHOW CO., LTD.",Wattana,A talented team full of game loversDaily coffee and snack bar are providedWork-Life Balance & Friendly working environment,20h ago
2128,Payroll & Benefits Specialist,"REVER AUTOMOTIVE CO., LTD.",Pathumwan,C&B PayrollHR Data AnalysisAdvance in excel Proficiency,12d ago
2129,Business Development Manager,RAKKAR DIGITAL (SCB 10X),Bangkok,Experience in business development managerAbility to manage complex projectsExcellent in organizational skills,1d ago
2130,Asset Management Executive Vice President *** Find out more detail on email,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Financial ServiceWell-known companyGood benefits & Welfares,2d ago
2131,Retail Leasing Supervisor / Manager,"Gaysorn Private Equity Co., Ltd.",Pathumwan,"Business understanding, negotiation skillProven Experience in Retail or Commercial LeasingStrong passion in Retail: Fashion",6d ago
2132,Senior Plant Engineering Supervisor,3M Thailand Ltd.,Ladkrabang,"Engineering's degree in related fieldPlant facility, utility, maintenananceCMMS and/or SAP for Plant Mtn., fluent in English",13h ago
2133,Digital Marketing - Specialist,"Mitsubishi Motors (Thailand) Co., Ltd.",Klongtoey,"FYI Center, MRT QSNCC, Klongtoei, 5 working daysExperience in digital marketingGood command in English",3d ago
2134,Admin Product officer/เจ้าหน้าที่ประสานงานฝ่ายผลิตภัณฑ์,"Sektor (Thailand) Co., Ltd.",Yannawa,,3d ago
2135,Senior Research Scientist / Senior R&D Engineer,Zensorium (Thailand) Ltd.,Klongtoey,,3d ago
2136,Trade Marketing Executive,Adecco Recruitment (Thailand) Limited,Bangkok,Near BTS stationExperience in Trade Marketing for FMCG productsGood command of English,2d ago
2137,Partner Development Associate,"ZUZU Hospitality (Thailand) Co., Ltd.",Sathorn,,2d ago
2138,HR Manager,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Klongtoey,5 days workingGood benefits & welfaresFlexible of working hour,6d ago
2139,Corporate Strategy Manager,Lotus's,Beungkum,"Experience in strategy/ business consultingStrong analytical, problem solvingGood influence, interpersonal skills.",4d ago
2140,Admin Customer Experience & Quality Supports Officer,Bumrungrad Hospital Public Company Limited,Wattana,1 year working in the healthcare or hospitalityExcellent command in Thai-EnglishGood computer skills,5d ago
2141,Marketing Manager (Commercial/Passenger Vehicle),JAC International,Bangkapi,"Global company, financial stabilityWorks in regional scaleExp in full cycle of traditional marketing",3d ago
2142,Application Engineer (CAE Ansys simulation & analysis)/ 60K/ Bangkok/ New set-up/ only WFH,JAC Recruitment Thailand,Bangkok,CAE applicationAnsys SimulationFAE support,3d ago
2143,Commercial Manager – Thailand,"Gagan (Thailand) Co., Ltd.",Bangkok,"Fashion retail businessStrong leadership, people management skillsInitiative with strong creativity & fashion sense",3d ago
2144,Management Associate / Management Trainee,"Garena Online (Thailand) Co., Ltd./ Sea Thailand",Dindaeng,"2-year program with 4 rotationsStrong passion, drive and adatabilityGood English communication",3d ago
2145,Marketing Manager,VT Markets,Bangkok,Marketing ManagerMarketingBrand planning,7d ago
2146,R&D Product Planning Engineer,Daikin Industries (Thailand) Ltd.,Chonburi,,3d ago
2147,"Manager, Supply Chain Analytics",Brenntag Ingredients (Thailand) Public Company Limited,Sathorn,,3d ago
2148,Marketing & Promotion Support (LAMY Brand),DKSH (Thailand) Limited,Prakanong,Marketing supportCoordinatorSocial Media,5h ago
2149,Operational Risk Officer,"UOB Asset Management (Thailand) Co., Ltd.",Sathorn,,3d ago
2150,"Customs Assistant, Customs Brokerage (Romklao)",DSV Air & Sea Ltd.,Ladkrabang,5 years' experience in customs clearance/formalityKnowledge of local regulatory and HS CodeGood command of English and computer literacy,4d ago
2151,Program Management Engineer,SAM Precision (Thailand) Limited,Ayutthaya,,15h ago
2152,Strategic Planner (All level),"JENOSIZE Co., Ltd.",Bangkok Area - Nonthaburi,Communication Strategy & Digital SolutionsPassion to Drive Business Opportunity with TeamGet Yourself Learnt and Disrupted Everyday,6d ago
2153,Marketing Supervisor- Cosmetics (Chinese Speaking),ManpowerGroup Thailand,Bangkok,online offline marketingcosmetics skincarechinese speaking,3d ago
2154,HR Manangement and Development Consultant/HR Manangement and Development Consultant,"Pasan Co.,Ltd.",Yannawa,,3d ago
2155,Operations specialist,CIMC Wetrans International Logistics (Thailand) Co. Ltd,Bangkok,,3d ago
2156,Digital Media Planner (Junior/Senior),PRTR,Bangkok,Flexible EnvironmentDigital PlanningMarketing Agency,3d ago
2157,Head of Procurement - Business Development & B2B,Osotspa Public Company Limited,Bangkapi,Experience in procurement sourcingGenerate new business development opportunityFMCG is preferable,3h ago
2158,B2B Trade Marketing (CP-Meiji),Charoen Pokphand Foods Public Company Limited,Dindaeng,Manage pricing strategy within B2B PortfolioDevelop GTM action plan/Cross-channelAcquire and retain customer through B2B program,4d ago
2159,Career and Talent Management Division Manager,Central Retail Corporation (CRC Talent Acquisition),Pathumwan,Career and Talent Management Division ManagerServe as a business partner with hiring managersDevelop effective relationships within the org,3d ago
2160,Demand and Supply Chain planner,"CREA Co., Ltd.",Prakanong,Analyze historical dataDemand and Supply planningInventory management,3d ago
2161,Personal Assistant (Direct to head of sales & marketing department)/ผู้ช่วยผู้บริหาร สายงาน sales & marketing,"LME CO., LTD.",Yannawa,Good analytic thinking (Sales&Mkt. perspective)Good communication skills (Fluent in English)Active learner and self development,3d ago
2162,Seller Growth Associate,"DISYS (THAILAND) CO., LTD.",Wattana,E-commerce and Business developmentDigits and salesSale and Account management b2b,4d ago
2163,Area Sales Manager - Lower North East,"Suntory PepsiCo Beverage (Thailand) Co., Ltd.",Northeastern,Ensure execution of MU/Region plan strategy&policyBachelor Degree in any fieldsExperience in managing Distribution Centre&Credit,3d ago
2164,Performance Marketing Specialist,Central JD Commerce Limited.,Huaykwang,2 years'+ experience in digital marketingProvide marketing solutions to Merchandise teamManage and optimize the campaign landing page,4d ago
2165,Transport Solution Design Manager (Bangna KM.19),LF Logistics (Thailand) Limited,Bangplee,Transport Solution Design5 yrs of working experience in logistics businessGood analytical skill,3d ago
2166,Jr./Sr. Quality Engineer (Chonburi),"Fabrinet Co., Ltd.",Chonburi,At least 3 years in Quality Engineer / SQEBackground in Quality Management SystemExperience in Electronics Business,3d ago
2167,Senior R&D Chemist (Organic chemistry synthesis),Michael Page,Bangkok,Organic chemistrySynthesizing polymersSpecialty chemicals for paint manufacturers,3d ago
2168,Senior Manager - HRIS,Generali Insurance (Thailand) Public Company Limited,Pathumwan,Fluent in English skillHRIS ExperienceFamiliar with Success Factor,3d ago
2169,Human Resources,JAC Recruitment Thailand,Bangkok,"HR experience at least 5-8 years with in HRM/HRDLocation : BangkokSalary: 80,000 – 85,000THB +/- (Negotiable)",4d ago
2170,Talent Acquisition & Employer Branding Specialist,"REVER AUTOMOTIVE CO., LTD.",Pathumwan,Experience in Talent Acquisition & BRANDINGIndividual contributor & able to manage deadlinesWilling to go above and beyound,8d ago
2171,Senior Marketing Executive/Senior Marketing Executive,"CREATE MEDIA CO., LTD.",Sathorn,,3d ago
2172,Python Developer - Chonburi,"Fabrinet Co., Ltd.",Chonburi,"Python DeveloperPython Programming, Developing Test Automation.Test Measurement Equipment, and Robotic Automation",3d ago
2173,Brand Associate ( Contract 7 Month ),Boots Retail (Thailand) Ltd.,Dindaeng,"Previous experience working in administrativeworking in FMCG, retail, beauty is preferable.Good English communication both verbal and written",5d ago
2174,Sr. Strategic Planner (2-7yrs+ in Strategic Plan/ Knowledge of Marketing Concept/ Good English),"SMARTCRUIT CONSULTANT RECRUITMENT CO., LTD.",Bangkok,"2-7 years+ in Strategic PlanKnowledge of Marketing concepts, BrandingGood command of English",3d ago
2175,Logistics Expert (Warehouse & Transport),NES Fircroft (Thailand) Ltd.,Bangkok,"logistics, warehouse, or transportation operationsupervisory or management experienceFreight Forward business and transportation law",3d ago
2176,Executive Assistant,Trouw Nutrition (Thailand) Limited.,Klongtoey,,3d ago
2177,Process Safety Manager (Saraburi),Cargill Group Thailand (กลุ่มบริษัทคาร์กิลล์ ประเทศไทย),Saraburi,Required experience in process safetyRegional career pathAttractive salary package,3d ago
2178,Senior Asset Management Manager / Bangkok,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Asset Management / Financial Services Business5+ years of experience from financial or bankingBTS Asoke / Well-known Company / Good Benefit,4d ago
2179,Vice President - Corporate Customer Experience,Major Development Public Company Limited,Wattana,CRMCustomer Experiencereal estate,3d ago
2180,Credit Analyst - Corporate Banking,Bangkok Bank Public Company Limited,Sathorn,"Fresh Graduated will be considerAnalyze financial structureCredit Analyst, Underwritter, Finance analyst",6d ago
2181,"Product Manager, Bots","Eko Corporation Co., Ltd.",Prakanong,,3d ago
2182,Medical Affairs Manager,Galderma (Thailand) Ltd.,Bangkok,5 years of Medical Affairs experienceInspiring to be a leaderPrior experiences working in Pharmaceutical co,3d ago
2183,Head of Marketing - Ecommerce (200K) **Urgent**,"Manpower Professional and Executive Recruitment Co., Ltd.",Klongtoey,"Bachelor or Master degree in  Marketing or relatedExperience as Head of Marketing, Marketing ManagerExcellent Business English skills",3d ago
2184,Category Manager (Motors),Lazada  Ltd.,Wattana,"5+ exp in e-commerce, retail, BDStrong analytical and Excel skillsStrong ownership and attention to details",5d ago
2185,Product Manager (Urology),"Astellas Pharma (Thailand) Co., Ltd.",Bangkapi,"5+ years of pharmaceutical experience1-3 years’ sales, marketing/promotions experiencePost-graduate degree in marketing/management",20h ago
2186,E-Commerce - Online Merchandising & Channel Strategy Manager,LINE Company (Thailand) Limited,Pathumwan,5+ ys of work experience in Online MerchandisingStrong analytical and numerical skillsStrong in SQL (Database Queries) is required,3d ago
2187,QA/QC Manager,JAC Recruitment Eastern Seaboard,Chonburi,"Working location is at Pinthong, Chonburi.Works only Monday to Friday.Provides attractive benefits.",20h ago
2188,Sales Representative/(เจ้าหน้าที่ฝ่ายขายและที่ปรึกษาด้านการเงินการลงทุน),"V&A Solution AEC Co., Ltd.",Bangrak,"Sale skillsหุ้น, หลักทรัพย์, ตลาด Forex, Meta Trader 4.Stock,Securities,Forex,FX ,Investment,trading",3d ago
2189,Transport Operation – Less-Than-Truck Load/Hub Management,JWD InfoLogistics Public Company Limited,Bangkok,Degree or higher in Engineering/Sceince/Logistics10 years of work experience in Logistics5 years of proven Logistics Project Management,4d ago
2190,Application Engineer - Specialty,"FUCHS LUBRICANTS (THAILAND) CO., LTD.",Phayathai,Application EngineerSpecialty productsTo be part of flat hierarchies of a global Group,20h ago
2191,AVP Improvement Operation,"Silkspan Insurance Brokerage Co., Ltd.",Wattana,"Sales, Marketing, Tele-sales, Direct salesImprovement, Analytical, Report, DataFintech",4d ago
2192,Quality Engineer,"Toshiba Carrier (Thailand) Co., Ltd.",Pathumthani > Muang,Quality AssuranceQuality ControlQuality Analysis,4d ago
2193,Senior Legal Counselor/ที่ปรึกษาด้านกฎหมาย,TISCO Financial Group Public Company Limited,Sathorn,Age 25-30  yearsAt least 2 years drafting and/or legal opinionGood written and spoken English.,4d ago
2194,Tester-SQA-Software Tester-Manual Tester-Automated Tester,"Infinite Computing Systems (Thailand) Co., Ltd.",Bangkok,BacherlorsService MindBest Company to work for,4d ago
2195,Performance Tester,"Ascentia Consulting (Thailand) Co., Ltd.",Bangkok,At least 2 year of experienceBachelor’s Degree of Computer ScienceLoad Testing,4d ago
2196,General Manager Purchasing,"Hitachi Transport System Vantec (Thailand), Ltd.",Bangsaotong,Strong leadership to lead and motivate team memberExperience as a Purchasing Manager at least 7 yearGood command in English communication skills,4d ago
2197,Sr. Specialist - P&C Product Management/Sr. Specialist - P&C Product Management,Allianz Ayudhya Assurance Public Company Limited,Bangkok,Launch P&C insurance product campaignProject managementMarket analysis,5d ago
2198,Customer Planner - Sales Forecast ( 6 Months Contractor),Unilever Thai Trading Limited,Huaykwang,"FMCG/retail/sale analyst experiencesCan working with cross functional stakeholdersStrong accountability, ownership & result driven",5d ago
2199,Finance Business Partner,Lazada  Ltd.,Bangkok,To work closely with businessSuper fast pace work environmentManage and deliver Function’s P&L,5d ago
2200,Software Tester,"Greenline Synergy Co., Ltd.",Suanluang,Manual Testing 90%Hospital and Healthcare ApplicationAgile and Waterfall frameworks.,5d ago
2201,Sales/พนักงานขาย,"DENSO Sales (Thailand) Co., Ltd.",Bangbor,Sale representativeSocial Solution BusinessGood English,4d ago
2202,Digital Marketing Specialist/Digital Marketing Specialist,"Own Services Thai Co., Ltd.",Huaykwang,Digital marketingAdvertisingSpeak English,4d ago
2203,Contact Center Training and Quality Manager,Teledirect Telecommerce (Thailand) Ltd.,Rajthevee,Quality AssuranceTrainingCustomer Service,20h ago
2204,Assistant to General Manager,HAYAT HYGIENIC PRODUCTS (THAILAND) LTD.,Sathorn,Fluent in English as reported to expat DirectorStrong in admin and secretarial tasksHybrid workplace with competitive salary,4d ago
2205,Product Category Manager/ Assistant Manager,"SSUP HOLDINGS CO., LTD.",Rajthevee,Create marketing and promotion strategyStrong quantitative and analytical skillsManage cosmetics product categories,4d ago
2206,Part Sales Admin,PRTR,Bangkok,3-5 Yrs as Sales Coordinator or Selling Parts30-40 Yrs Old. Thai OnlyGood in Thai and English,5d ago
2207,Business & Finance Controller/ Nonthaburi/ Up to 200K,Adecco Recruitment (Thailand) Limited,Bangkok Area - Nonthaburi,Finance & Cost control in plant/manufacturingMNC Company who expertise in Vegetable SeedGood command of English,4d ago
2208,Project Manager :   (9 Months contract),Aetna Health Insurance (Thailand) Public Company Limited,Sathorn,Good salaryBackground banking/insurance industry is preferredSAP Experience would be beneficial,5d ago
2209,Head of Controlling,"PA & CA Recruitment Co., Ltd.",Ayutthaya,Bachelor's Degree or higher in Accounting10+ years of experience in controlling5+years of relevant managerial experience,4d ago
2210,Senior Performance Marketing/Ads optimizer/Pathumwan/50K,Adecco Recruitment (Thailand) Limited,Sathorn,English course productExp. marketing agencyPathumwan,4d ago
2211,Head of Corporate and Marketing Communications,Sompo Insurance (Thailand) Public Company Limited,Bangrak,"Minimum 2 months bonus, Hybrid workingNon-life insurance backgroundMinimum 8 years of related working experience",5d ago
2212,Operation Improvement Manager (work at Wellgrow Industrial Estate),DHL Supply Chain (Thailand) Ltd.,Chachoengsao,Experienced in operation improvementCommunicate well both in English and ThaiAble to work at Wellgrow Industrial Estate,4d ago
2213,Digital Product Owner,Sri Trang Agro - Industry Public Company Limited,Wattana,Bachelor’s and/or Master education in BusinessExperience in the Business TransformationMicrosoft Office skills especially Microsoft excel,4d ago
2214,Logistics Planning and Export Leader,HFC Prestige Manufacturing (Thailand) Ltd.,Chachoengsao,"Logistic, Planning2-3 years of experienceTransportation, Group insurance, 5 days working",4d ago
2215,Digital Product Discovery,Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,"Good remuneration benefits and packagesFlexible working style, Work from anywhereSmart casual dress",4d ago
2216,Chief Executive Officer,Lao Derm Group Company Limited,Overseas,"7 years or more of executive leadership experienceUnderstanding of advanced business planningLeadership abilities, as well as steadfast resolve",5d ago
2217,QUALITY ENGINEER (IN-PROCESS),"Fisher & Paykel Appliances (Thailand) Co., Ltd.",Rayong,"PPAP (MSA, PFMEA, Control Plan)8D analysis (Why Why Analysis)English communication require",5d ago
2218,Data Center Facility Project Manager,PRTR,Bangkok,"Able to Speak in English/Chinese6 Yrs in Construction Project Mgmt/Data Center/EtcDegree in Electrical, Mechanical, HVAC, Etc",3d ago
2219,Channel Development Manager (General Trade) - Confectionary and Nutrition,Nestle (Thai) Ltd.,Pathumwan,Flexible working hours and locationWorking closely with Sales (GT)Good employee benefits,5d ago
2220,Business Controller,East-West Seed International Limited,Bangbuathong,"FP&AFinance Business Partner, Commercial financeCost Accounting",4d ago
2221,Engineering Support Manager (Maintenance) - Gateway plant,Unilever Thai Trading Limited,Chachoengsao,>10 years experiences in MaintenanceExperienced in Food industry is a plusGood command of English,6d ago
2222,Senior / Lead IC Test Development Engineer,"Silicon Craft Technology Co., Ltd.",Jatuchak,"Integrated Circuit IndustryCompetitive salary, yearly bonus, career growth5-day work week policy",4d ago
2223,Senior Planner (Head of Planning team) (40K-70K) (SDG-66324)/ผู้วางแผนอาวุโส (หัวหน้าทีมวางแผน),"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Wattana,Opportunity to work in various types of projectLead strategic planning across social and digitalAt least 5  years experiences strategic planning,4d ago
2224,R&D Product Planning Engineer,JAC Recruitment Eastern Seaboard,Chonburi,5 Days workingJapanese companyGood benefit,5d ago
2225,Partner Development & Operation Manager (Chinese Speaking - Digital Power),"Huawei Technologies (Thailand) Co., Ltd.",Huaykwang,"Experience in Channel or Partner developmentGood command in English and ChineseStrong leadership, people and communication skill",5d ago
2226,Livestream Production,"Shopee (Thailand) Co., Ltd.",Huaykwang,experienced in Production or BroadcastingCreative/ Copy writer/ Strategic PlanningPrefer experience in Live Entertainment,15h ago
2227,Security Manager,Ninja Logistics (Thailand) Limited.,Bangsaotong,Experience 6-8years in Managing Security OperationFluent in EnglishKnowledge in ISO 2800K / PMP / CPSM,4d ago
2228,Senior Retail Category Manager,Colgate-Palmolive (Thailand) Limited,Klongtoey,FMCG/ Trade Marketing/ Branding/ Business Analysis5Ps/ Strong data & Category analysisEng. presentation/ Teamwork / Interpersonal skills,4d ago
2229,Test & Validation Engineer,"Valeo Automotive (Thailand) Co., Ltd.",Rayong,,5d ago
2230,Operation Assistant,Vectorquantum,Bangkok,,5d ago
2231,Senior Staff - Marketing & Business Development (Bangna Trad KM.22),"NISSAN MOTOR (THAILAND) CO., LTD.",Bangsaotong,Business StrategyAftersales projectsBusiness Development,5d ago
2232,Assistant Manager Sales and Acquisition,"American Express (Thai) Co., Ltd.",Phayathai,Competitive compensation and benefits packageCareer advancement opportunitiesMulti-national company,6d ago
2233,Marketing Staff/พนักงานการตลาด,"Thai Central Chemical Public Co., Ltd.",Pathumwan,"โบนัสตามผลประกอบการ ประวัติไม่ต่ำกว่า 5 เดือนกองทุนสำรองเลี้ยงชีพประกันสุขภาพ,ชีวิตอุบัติเหตุ พนักงาน,คู่สมรส,บุตร",5d ago
2234,Marketing Assistant Manager - Manager (Experienced Retail Industry) 40 - 80 K / Japanese N3,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok,Marketing experience within a Retail IndustryJapanese Communication SkillExperience to manage subordinates,4h ago
2235,Project Management Associate / Senior,Thai Beverages Public Company Limited,Jatuchak,Project ManagementGood analytical and problem-solving skillsGood prioritization skills,20h ago
2236,Business Development (Pop Coin),RS Group,Jatuchak,"Interested in blockchain & cryptocurrency platformPlanning & recruiting new business partners & UserWork at RS Group Building, nearby BTS Kasetsart",5d ago
2237,English Copywriter,Rabbit Care Company Limited,Sathorn,Eng-Thai / Thai-Eng TranslationProof ReadingCreativity,5d ago
2238,Head of Corporate Strategy :  Manager -AVP,Thaire Life Assurance PCL.,Huaykwang,"Research, analyze and Marketing Intelligenceto build up the company strategic and directionMonitoring and evaluation key initiatives",5d ago
2239,Sales Administration Executive - Contract 12 months,"Suntory Beverage & Food (Thailand) Co., Ltd.",Pathumwan,Support department on administrative taskGT channelCoordinator,5d ago
2240,Product Planning (HVAC),JAC Recruitment Eastern Seaboard,Chonburi,5 Working daysJapanese companyGood benefit,5d ago
2241,Supply Chain Executive,"Flash Coffee TH Co., Ltd",Sathorn,Very structured and organizedMinimum of 2-4 years experienceStrong command of English and Thai language,5d ago
2242,Vice President Finance/ผู้อำนวยการฝ่ายการเงิน,"Altitude Development Co., Ltd.",Bangrak,Strong analytical skills10 years experienceLeadership skill,6d ago
2243,"Lead Scrum Product Manager, 150K-180K, English Fluency",Argyll Scott Asia,Bangkok,8-10 years technical product management3+ years of experience with payments in digitalGood command in English,1h ago
2244,Performance Marketing / Search Marketing / Google Ads & Analytics Specialist,"LAZUDI CO., LTD.",Wattana,"Google Ads | PPC Management | ROI | PerformanceSearch SEM Analytics Optimization BiddableBangkok, Thong lor (Mon-Fri)",5d ago
2245,Senior Brand Manager - Global FMCG brand,Michael Page,Bangkok,Experience in brand managementFMCG industryStrong analytical and problem solving,20h ago
2246,QUALITY ANALYST SUPPLIER,"Mccormick (Thailand) Co., Ltd.",Chonburi,"Ingredient Category & Associated Vendor ManagementDevelopment quality of raw mat specFluent in Englist, Control Quality Standard",12d ago
2247,Demand Planning Manager (Industrial products),SKF (THAILAND) LTD.,Yannawa,,5d ago
2248,Senior Civil Sales Engineer/Sr. Civil Sales Engineer,บริษัท เวือร์ท (ประเทศไทย) จำกัด,Ladkrabang,Civil EngineerSenior Sales EngineerSales Engineer (CIvil),6d ago
2249,Process & Quality Engineer (ประจำที่จังหวัดปราจีนบุรี),Emerson Electric (Thailand) Ltd.,Phrachinburi,"Bachelor’s in Chemical /Material EngineeringExperience in process quality control SPC, DOE ISOEnglish proficiency and good communication skill",5d ago
2250,Asset Management Officer (Renewable Energy) 50-60K,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Keeping permitting / licenses up to dateResponsible for reporting and budgeted performanceTransition from PM to Asset management team,6d ago
2251,Category Lead/Category Director: eCommerce,"CREA Co., Ltd.",Prakanong,Manage and coaching members in the teamForecast category target setting and performanceEnsure brands and store performance,5d ago
2252,Sales Manager (Beauty)/ผู้จัดการฝ่ายขาย,"Global Style Trading Co., Ltd.",Wattana,Bachelor’s degree in any related field5 years’ experience as Salesโบนัส (ตามผลประกอบการบริษัท),5d ago
2253,Senior Product Manager (Heavy Machine Part and Engine),Kensington Associates Recruitment (Thailand) Ltd.,Eastern,"Product Management, Aftermarket,Spare Part,Engine10 years in Machinery, Construction, AutomotiveGood in English, [email protected]",6d ago
2254,IOT Engineer,"DENSO INTERNATIONAL ASIA CO., LTD.",Bangbor,"IT/Software/Computer/Electric EngineeringExperience in IoT, Software DevelopmentFluent in English",5d ago
2255,Asst.Engineering Mgr. / Asst.Production Mgr.,"Captain Coating Co., Ltd.",Bangsaotong,"Plant facility, Chemical, MaintenanceProduction, Paints Manufacturing,Knowledge ISO 9001 & Knowlege SAP",3d ago
2256,Senior Quality Engineer (Rubber Products),JAC International,Ladkrabang,International and Stable BusinessGreat Salary and BenefitsCareer Path,5d ago
2257,Group Governance & Audit Methodology & COE (SCBX),"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"Risk exposureKnowledge of SQLCIA, CPIAT or CISA preferred",6d ago
2258,Marketing & E-Commerce Associate,Stiebel Eltron Asia Ltd.,Ayutthaya,Degree in Marketing or a relevant Business subjectPhenomenal market research skills.1 year in digital or marketing field or related,12d ago
2259,Mid-level Software Developer/Programmer,Tilleke & Gibbins International Ltd.,Yannawa,A great opportunity to impact the firm’s workGroup health and life insurance and private gymBachelor’s Degree or higher in Computer Science,5d ago
2260,"Assistant Sales Manager - FMCG Oversea Market (PECTH, BTS Poochao Samhing Prai)","Panasonic Solutions (Thailand) Co., Ltd.",Samutprakarn > Muang,"Monitor Malaysia, Srilanka, Myanmar MarketDry battery ProductsGood command of English",6d ago
2261,Procurement Engineer,Fujikura Electronics (Thailand) Ltd.,Ayutthaya,3 – 5 years in Purchase EngineerAbility to work both independently and in a teamGood command in speaking & writing English,20h ago
2262,Senior Digital Strategist (Senior Digital Strategic Planner)/ผู้วางกลยุทธ์ตลาดดิจิทัล,"Natura Remedee Co., Ltd.",Phayathai,"DL Holding ComapnyPhyathai, BangkokHealthcare & Beauty",6d ago
2263,International Business Development Section Manager,"Bertram (1958) Co., Ltd.",Wangthonglang,Having 5+ year experiences in international marketMust have experiences in FMCG businessCommunicate in Chinese is a plus,6d ago
2264,Regional Sales Manager - Bangkok,"Suntory Beverage & Food (Thailand) Co., Ltd.",Pathumwan,Sales growthDistributionPeople management,6d ago
2265,Service Delivery Ops Team Lead (English / Korean / Japanese / Mandarin speaking),Accenture Thailand,Sathorn,BPO Team Lead with 2 year experience in managementFull benefits and shift allowance will be providedMultinational Team environment,20h ago
2266,Sourcing Manager- Food (ID: 552428),"BTI Executive Placement (Thailand) Co., Ltd.",Bangkok,"Food Sourcing, Food MerchandiseRetail Business, CommercialAnalytical skills",6d ago
2267,Full Stack Developer,Dohome Public Company Limited,Dindaeng,Full Stack DeveloperHRIS3 Years of experience,6d ago
2268,"Manager, Transportation, Road, Air & Sea Thailand (Romklao)",DSV Air & Sea Ltd.,Ladkrabang,"At least 10 years of experience in TransportationExcellent in English: speaking, writing & readingUnderstanding overview of logistics/transportation",12d ago
2269,Production Supervisor,"Lumentum International (Thailand) Co., Ltd.",Klongluang,Global companyManufacturing workingPathumthani,6d ago
2270,Trade Marketing Manager (Plan-o-gram & Display),"TD Tawandang Co., Ltd.",Bangrak,Plan-o-gram & DisplayImpliment & Mornitor Campaign performanceEnsure campaign excellence from end-to-end,6d ago
2271,Dealer Operations Staff,"Honda Automobile (Thailand) Co.,Ltd.",Meenburi,Sales & Service in Automotive businessDealer OperationsWorking experienced at least 1  Y.,6d ago
2272,Key Account Manager,L'Oreal (Thailand) Ltd.,Sathorn,Great opportunity to growKey Account ManagementPassion in beauty,6d ago
2273,Sales & Marketing Officer/เจ้าหน้าที่ฝ่ายขายและการตลาด,"Cirrus Air Conditioning & Refrigeration Co., Ltd.",Phuket,,6d ago
2274,Retail UX and Service Designer Specialist,"King Power Click Co., Ltd.",Phayathai,,6d ago
2275,PROCESS IMPROVEMENT ENGINEER,"Mccormick (Thailand) Co., Ltd.",Chonburi,"CI, TPM, Cost Saving, ProductivityProcess Improvement & Good command in EnglishWork at Amata Chonburi Phase 10",6d ago
2276,Senior UX/UI Designer,ttb spark - TMBThanachart Bank or ttb,Jatuchak,"UX/UI Designer working in Agile environmentExpertise in Sketch, Figma etc.Exp. in Financial or Banking industry is preferred",6d ago
2277,Sale Coordinator Specialist (Chinese Speaking) - AP Digital Power,"Huawei Technologies (Thailand) Co., Ltd.",Pathumwan,"At least 3-5 years Inside Sale/Sale support workUnderstand the marketing and frontline saleGood command in English, Chinese is preferred",6d ago
2278,Learning Portal Admin,"Shopee (Thailand) Co., Ltd.",Huaykwang,Learning Portal AdminUpload and manage all training coursesUpload and perform QA testing,6d ago
2279,Internal Audit – Manager to AVP Level,"Frasers Property (Thailand) Public Co., Ltd.",Pathumwan,"CIA, CISA, or other related certifications5-year experience in audit fieldsGood Command in English",6d ago
2280,Station Operation Manager,PTG Energy Public Company Limited,Huaykwang,Operation Management and Safety ManagementOperation for Oil & Gas StationData Driven mindset and Data Analytics,6d ago
